data,forecast_ensemble,forecast_gru,forecast_lstm,forecast_gbrt,ic68_inf,ic68_sup,ic95_inf,ic95_sup
2029-03-01,120146.51627381581,119521.6347650436,120328.8853481464,120589.02870825739,96482.43044966155,143810.60209797006,73764.90805847345,166528.12448915816
2029-04-01,136150.32507347388,135441.5008660987,136357.2987255682,136652.17562875478,109091.43985411679,163209.21029283098,83114.910043534,189185.7401034138
2029-05-01,182420.1747272847,181469.82559365872,182697.76101153527,183092.93757666007,145843.22380991845,218997.12564465098,110729.35092924684,254110.99852532253
2029-06-01,161830.26453363648,160986.8976048167,162076.63260711785,162427.2633889748,129098.38492343019,194562.14414384274,97675.78049763215,225984.74856964083
2029-07-01,124736.24589311716,124086.10147306288,124926.16837671689,125196.46782957172,99290.45936897685,150182.03241725746,74862.50430580218,174609.98748043214
2029-08-01,123188.73598411093,122546.63580217243,123376.29837231143,123643.27377784895,97846.56431361825,148530.9076546036,73518.07950994528,172859.39245827656
2029-09-01,128372.29395341233,128314.406605958,128283.0000146067,128519.47523967229,101744.60815359064,154999.97975323405,76182.02978576181,180562.55812106284
2029-10-01,124994.5878407574,124937.20629069231,124908.32357027441,125138.23366130551,98855.87137237175,151133.30430914307,73762.70356272152,176226.4721187933
2029-11-01,125545.46194764563,125302.68440785584,125276.32853596473,126057.37289911632,99080.66915111455,152010.2547441767,73674.46806644474,177416.45582884652
2029-12-01,171259.4764356428,171009.21618681872,170977.76337593817,171791.4497441715,134872.84906137027,207646.10380991534,99941.68678206866,242577.26608921695
2030-01-01,127220.2460207361,126970.48214714386,126950.24814799546,127740.00776706895,99980.05719486898,154460.43484660322,73829.47592203655,180611.01611943566
2030-02-01,135043.88440371063,134774.584603674,134755.9511963575,135601.11741110036,105906.9340746635,164180.83473275776,77935.46175877826,192152.307048643
2030-03-01,133877.96033243352,133598.05725092173,133581.92132175594,134453.90242462285,104774.56271274082,162981.3579521262,76835.30099783585,190920.6196670312
2030-04-01,151710.81539035877,151392.5634210532,151376.3928191956,152363.48993082752,118485.56953867764,184936.0612420399,86589.33352106375,216832.2972596538
2030-05-01,203306.38952861432,202841.44146485886,202821.9977924031,204255.72932858107,158455.32270617204,248157.4563510566,115398.29855662747,291214.4805006012
2030-06-01,180359.18502118273,179945.95640830064,179930.3759331913,181201.22272205623,140283.17389125883,220435.19615110665,101810.20320653188,258908.16683583357
2030-07-01,138969.72680436834,138699.19349480196,138688.27306144664,139521.71385685643,107870.71548426051,170068.73812447616,78015.66461695702,199923.78899177967
2030-08-01,137245.81025839795,136978.37121055904,136968.2879304586,137790.77163417623,106317.04744735004,168174.57306944585,76625.43514874406,197866.18536805184
2030-09-01,142781.1849434801,142841.01890122565,142729.44709902923,142773.0888301855,110382.33337111071,175180.0365158495,79279.43586163613,206282.93402532407
2030-10-01,139025.09110306538,139083.9857702129,138974.81565481375,139016.47188416947,107263.20730540591,170786.97490072483,76771.79885965284,201278.3833464779
