data,real,pred_GRU,pred_LSTM,pred_Ensemble
2018-05-01,46181.2,53551.31043369426,53296.127350204886,52800.64137783053
2018-06-01,44862.7,48381.65090707921,47906.94029643168,48256.02155198123
2018-07-01,45276.2,49047.38842125371,48496.14649921089,48364.40436800438
2018-08-01,49348.2,53657.75627879483,53043.118782794394,52426.2431775063
2018-09-01,61736.9,66500.00953475066,65743.50531320686,64506.22422029846
2018-10-01,45259.6,49992.742296806966,49450.22624870021,49038.121979539144
2018-11-01,49978.0,53799.72386002001,53246.968244758726,52822.903575150136
2018-12-01,62392.3,65568.96040773098,64837.57146301845,65913.03335441537
2019-01-01,46359.3,48364.34520553522,47820.39736719431,47373.61652294666
2019-02-01,46746.8,49420.23789551882,48879.75125097256,48446.47059445128
2019-03-01,54110.5,55329.59613246044,54666.71910278348,53872.041206196256
2019-04-01,47678.9,50067.12435900474,49476.98669784598,49529.0873996436
2019-05-01,47625.2,50891.06492922834,51040.754564867195,52082.29245269937
2019-06-01,47743.8,49453.80792237686,49561.26189998942,49628.36980215719
2019-07-01,48346.4,49909.441729406455,50031.0172131271,50623.94783374788
2019-08-01,53610.4,54400.592458898995,54561.89337705543,54745.390708292536
2019-09-01,66122.6,68069.63009991638,68272.0509635101,68596.46114638976
2019-10-01,48581.8,49922.709212784684,50063.56191858825,50469.46714290351
2019-11-01,54400.6,54892.43120704897,55448.830286035896,55507.999137159764
2019-12-01,66501.2,68566.9723890382,69240.0366824651,69107.93530267265
2020-01-01,48517.7,50969.94296126695,51469.23548715371,51709.52339043946
2020-02-01,50935.6,51391.56603979459,51916.38615118166,51433.665719851
2020-03-01,50385.9,59480.753106549826,60101.53338184814,59893.93548306869
2020-04-01,56193.8,52333.33670616403,52955.80022716578,54077.95892545661
2020-05-01,75020.8,51437.95570888509,52751.927314431094,52901.94181707902
2020-06-01,76928.5,51387.56674736639,53054.0737571228,52557.16492295862
2020-07-01,50861.3,52447.829395440516,54000.061163479535,54035.14936684095
2020-08-01,50123.5,58603.59318991114,60021.426640661295,59939.39357435988
2020-09-01,51062.5,72412.59931885371,74024.03305205448,73998.6778637153
2020-10-01,51129.4,53223.534479737435,54253.0027703237,54672.45105684112
2020-11-01,51865.9,60690.910980756606,60949.700903461104,61268.06251986
2020-12-01,52449.1,74041.6278301609,74478.038839098,74923.8342974271
2021-01-01,51554.8,53939.823313585795,54288.767449104416,55450.86988182383
2021-02-01,53558.7,56493.71799554515,56918.534651311966,57355.17516280721
2021-03-01,54741.3,55804.501910928964,56232.15817070098,56627.386410423176
2021-04-01,53975.6,62201.81311565761,62647.08817501133,62063.57466390527
2021-05-01,61473.8,81850.37400975157,82412.08575501933,80449.85941016464
2021-06-01,89235.1,83940.6490170127,84364.92838153176,83825.73795779451
2021-07-01,74592.1,55396.81057181343,55701.17546901258,56369.94928522321
2021-08-01,53777.7,54637.50665214413,54887.844441935864,56244.31922329105
2021-09-01,55006.7,56003.394580273256,55886.66925242773,57613.766750052004
2021-10-01,54481.3,56343.104769714264,56083.579841902145,56489.310526485206
2021-11-01,53909.9,56752.97439202072,57309.26871555749,57665.63578856671
2021-12-01,55550.4,57448.58980163143,58045.79521306728,58145.91798585347
2022-01-01,55692.6,56446.61317733342,57074.039004733655,56217.523378045116
2022-02-01,59061.5,58599.419907145326,59326.17787729623,58659.860881628
2022-03-01,61552.1,59866.61097316799,60702.84453377797,60283.4528004364
2022-04-01,67072.1,59015.50391062488,59870.57070105614,59994.988654778565
2022-05-01,88995.5,68233.24023221439,67821.52786172435,69002.25238645822
2022-06-01,83429.0,99481.91091042834,98620.25547521432,97256.3501609481
2022-07-01,61424.5,83147.74049351767,82568.84838823309,80926.60487944644
2022-08-01,71733.8,59727.49141677187,59600.47165595995,62014.24232711356
2022-09-01,61764.7,61110.885844852615,60948.9413213189,61219.12944528334
2022-10-01,61699.1,60540.186762189835,60241.94408907568,61409.11105381074
2022-11-01,61685.7,60004.72090085112,60033.70489265381,60439.11776175289
2022-12-01,62865.9,61847.943807587115,61880.59543624172,62403.411873851095
2023-01-01,62712.3,62032.09627063006,62057.69806766699,62592.290198576986
2023-02-01,65127.6,65806.23287950915,65831.03647613505,67970.25709636703
2023-03-01,65797.1,68594.61869814925,68613.18550895233,69030.97242560775
2023-04-01,66539.5,74739.89371861004,74751.8480939679,74021.86015113874
2023-05-01,82421.9,97849.770184569,99015.77463559929,96079.81758574946
2023-06-01,97632.6,90940.78302492041,92547.37008455695,97685.0515447217
2023-07-01,90507.7,67603.58553191456,68066.19513549573,71227.71582484929
2023-08-01,67196.8,78914.17873400616,77559.25587523523,72383.40822219124
2023-09-01,69552.8,66941.27858263507,66812.53551295506,65750.03866601313
2023-10-01,67015.1,66678.6466940049,66793.61061883126,67942.21687432114
2023-11-01,68196.7,68349.20676155623,68417.23318620032,68949.05010023809
2023-12-01,96173.3,69679.7600887125,69726.42465441526,69990.83236304906
2024-01-01,68430.3,70354.59224604163,69524.71280152429,70266.808873864
2024-02-01,71736.7,72597.57930620329,72180.60226398699,72152.21950988934
2024-03-01,72460.0,72991.41508446657,72909.88435698635,72419.93756553823
2024-04-01,80743.1,73676.66779908387,73727.80510111552,75002.92801009704
2024-05-01,110107.1,91984.77991960787,91547.3753512112,94136.6122386171
2024-06-01,94632.5,109996.37953836194,108543.84562842203,109164.51391016835
2024-07-01,73375.9,100691.24409876793,100628.20942728812,95932.57225514704
2024-08-01,72622.9,73403.11720591082,74628.74126879354,76117.93823510305
